Namespace(batchsize=8, epoch=80, gpu='0', learning_rate=0.0001, optimizer='Adam', workers=1)
epoch:65	 iter:1999/2000	 gpts loss:0.358	 depth loss:0.000	quat loss:-0.016	 joint loss:0.031	 total loss:0.373	 TP:475	 FP:805	TN:753	 FN:14	 acc:0.600	 p:0.369	r:0.958	 F1:0.262	 depth acc:1.000	 quat acc:0.392
epoch:66	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.016	 joint loss:0.031	 total loss:0.372	 TP:476	 FP:805	TN:752	 FN:13	 acc:0.600	 p:0.370	r:0.959	 F1:0.263	 depth acc:1.000	 quat acc:0.393
epoch:67	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.016	 joint loss:0.031	 total loss:0.373	 TP:475	 FP:805	TN:752	 FN:13	 acc:0.600	 p:0.369	r:0.958	 F1:0.262	 depth acc:1.000	 quat acc:0.393
epoch:68	 iter:1999/2000	 gpts loss:0.358	 depth loss:0.000	quat loss:-0.016	 joint loss:0.031	 total loss:0.373	 TP:475	 FP:804	TN:753	 FN:14	 acc:0.600	 p:0.370	r:0.959	 F1:0.263	 depth acc:1.000	 quat acc:0.392
epoch:69	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.019	 joint loss:0.031	 total loss:0.369	 TP:476	 FP:804	TN:753	 FN:13	 acc:0.600	 p:0.370	r:0.959	 F1:0.263	 depth acc:0.999	 quat acc:0.395
epoch:70	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.017	 joint loss:0.031	 total loss:0.371	 TP:476	 FP:805	TN:752	 FN:13	 acc:0.600	 p:0.370	r:0.958	 F1:0.263	 depth acc:1.000	 quat acc:0.394
epoch:71	 iter:1999/2000	 gpts loss:0.356	 depth loss:0.000	quat loss:-0.018	 joint loss:0.031	 total loss:0.369	 TP:476	 FP:804	TN:753	 FN:13	 acc:0.600	 p:0.372	r:0.960	 F1:0.264	 depth acc:1.000	 quat acc:0.394
epoch:72	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.019	 joint loss:0.031	 total loss:0.369	 TP:476	 FP:805	TN:751	 FN:13	 acc:0.600	 p:0.370	r:0.960	 F1:0.263	 depth acc:1.000	 quat acc:0.394
epoch:73	 iter:1999/2000	 gpts loss:0.356	 depth loss:0.000	quat loss:-0.019	 joint loss:0.031	 total loss:0.368	 TP:475	 FP:803	TN:754	 FN:13	 acc:0.601	 p:0.370	r:0.959	 F1:0.263	 depth acc:0.999	 quat acc:0.395
epoch:74	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.019	 joint loss:0.031	 total loss:0.369	 TP:475	 FP:804	TN:754	 FN:13	 acc:0.601	 p:0.369	r:0.958	 F1:0.263	 depth acc:0.999	 quat acc:0.395
epoch:75	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.022	 joint loss:0.031	 total loss:0.366	 TP:476	 FP:805	TN:752	 FN:13	 acc:0.600	 p:0.369	r:0.959	 F1:0.262	 depth acc:1.000	 quat acc:0.398
epoch:76	 iter:1999/2000	 gpts loss:0.356	 depth loss:0.000	quat loss:-0.021	 joint loss:0.031	 total loss:0.367	 TP:476	 FP:804	TN:753	 FN:13	 acc:0.600	 p:0.370	r:0.960	 F1:0.263	 depth acc:1.000	 quat acc:0.396
epoch:77	 iter:1999/2000	 gpts loss:0.356	 depth loss:0.000	quat loss:-0.021	 joint loss:0.031	 total loss:0.365	 TP:476	 FP:804	TN:753	 FN:13	 acc:0.600	 p:0.371	r:0.960	 F1:0.263	 depth acc:1.000	 quat acc:0.396
epoch:78	 iter:1999/2000	 gpts loss:0.356	 depth loss:0.000	quat loss:-0.022	 joint loss:0.031	 total loss:0.365	 TP:476	 FP:804	TN:753	 FN:13	 acc:0.600	 p:0.370	r:0.959	 F1:0.263	 depth acc:1.000	 quat acc:0.397
epoch:79	 iter:1999/2000	 gpts loss:0.357	 depth loss:0.000	quat loss:-0.023	 joint loss:0.031	 total loss:0.365	 TP:476	 FP:803	TN:754	 FN:13	 acc:0.601	 p:0.370	r:0.959	 F1:0.263	 depth acc:1.000	 quat acc:0.398
